CountryName,Uncertainty bounds*,2010,2011,2012,2013,2014,2015
Paraguay,Lower,17.9,16.9,15.8,14.8,13.9,13
Paraguay,Median,24.1,23.3,22.6,21.9,21.2,20.5
Paraguay,Upper,32.5,32.4,32.3,32.3,32.2,32.4
State of Palestine,Lower,20.1,19.3,18.5,17.7,16.9,16.1
State of Palestine,Median,23.8,23.3,22.8,22.3,21.7,21.1
State of Palestine,Upper,28,28.1,28,28,28,28.1
Qatar,Lower,8.6,8.4,8.2,7.9,7.6,7.2
Qatar,Median,9,8.8,8.6,8.4,8.2,8
Qatar,Upper,9.4,9.2,9,8.9,8.8,8.8
Romania,Lower,13.6,12.9,12.1,11.4,10.7,9.9
Romania,Median,13.9,13.2,12.5,12,11.5,11.1
Romania,Upper,14.2,13.4,12.9,12.6,12.5,12.5
Russian Federation,Lower,11.7,11,10.3,9.6,8.8,8.2
Russian Federation,Median,12,11.4,10.8,10.4,9.9,9.6
Russian Federation,Upper,12.2,11.7,11.4,11.2,11.2,11.2
Rwanda,Lower,57.1,50.2,43.6,38,33.5,29.9
Rwanda,Median,64.1,57.7,52.1,47.8,44.3,41.7
Rwanda,Upper,71.9,66.3,62.3,60.3,58.9,58.4
Saudi Arabia,Lower,12.1,11.3,10.6,10,9.3,8.7
Saudi Arabia,Median,17,16.5,16,15.5,15,14.5
Saudi Arabia,Upper,24.9,25.2,25.4,25.5,25.6,25.6
Sudan,Lower,70.1,67.5,64.9,62.2,59.4,56.5
Sudan,Median,80.2,78.2,76.3,74.2,72.2,70.1
Sudan,Upper,91.5,90.1,88.8,87.5,86.7,86.3
Senegal,Lower,56.6,50.7,45.5,41.2,37.5,34.3
Senegal,Median,64.8,60,55.9,52.5,49.7,47.2
Senegal,Upper,74.3,71,68.6,66.9,65.6,64.7
Singapore,Lower,2.7,2.7,2.6,2.5,2.4,2.2
Singapore,Median,2.8,2.8,2.8,2.8,2.8,2.7
Singapore,Upper,3,3,3,3.1,3.2,3.3
Solomon Islands,Lower,23.4,22.2,21,19.7,18.5,17.4
Solomon Islands,Median,32.1,31.4,30.7,29.9,28.9,28.1
Solomon Islands,Upper,43.7,44.2,44.7,45.1,45.4,45.4
Sierra Leone,Lower,145.4,134.8,124.5,114.7,105.8,97.8
Sierra Leone,Median,160.2,150.6,141.6,133.4,126.4,120.4
Sierra Leone,Upper,176.7,168.3,160.4,153.8,148.5,145.3
El Salvador,Lower,16.3,15.3,14.3,13.4,12.6,11.9
El Salvador,Median,20,19.3,18.6,18,17.4,16.8
El Salvador,Upper,24.3,23.9,23.7,23.5,23.4,23.3
San Marino,Lower,1.9,1.8,1.7,1.6,1.5,1.4
San Marino,Median,3.5,3.4,3.2,3.1,3,2.9
San Marino,Upper,6.4,6.4,6.3,6.3,6.3,6.2
Somalia,Lower,112.1,105,98.2,91.7,85.7,80.2
Somalia,Median,160.2,155.3,150.6,146.1,141.2,136.8
Somalia,Upper,233.5,235.6,237.6,239.4,241.3,242.4
Serbia,Lower,7.4,7.1,6.8,6.6,6.1,5.6
Serbia,Median,7.6,7.3,7.1,6.9,6.8,6.7
Serbia,Upper,7.9,7.6,7.4,7.4,7.6,7.9
South Sudan,Lower,82.5,76.6,71.5,67.1,62.3,57.9
South Sudan,Median,110.9,106.7,102.8,99.2,95.6,92.6
South Sudan,Upper,145.3,144.4,143.3,142.9,142.9,142.9
Sao Tome & Principe,Lower,39.1,36.5,34,31.7,29.6,27.7
Sao Tome & Principe,Median,56.4,54.4,52.4,50.8,49,47.3
Sao Tome & Principe,Upper,81.6,81.1,80.9,80.6,80.3,80.5
Suriname,Lower,14.5,13.7,12.9,12.1,11.4,10.8
Suriname,Median,24.9,24.1,23.4,22.6,21.9,21.3
Suriname,Upper,42.7,42.5,42.7,42.8,42.6,42.4
Slovakia,Lower,8.1,7.8,7.6,7.3,7.1,6.8
Slovakia,Median,8.4,8.1,7.9,7.7,7.5,7.3
Slovakia,Upper,8.6,8.4,8.2,8.1,8,7.9
Slovenia,Lower,3.1,2.9,2.7,2.5,2.4,2.2
Slovenia,Median,3.3,3.1,3,2.8,2.7,2.6
Slovenia,Upper,3.5,3.4,3.3,3.2,3.1,3
Sweden,Lower,2.9,2.9,2.9,2.8,2.8,2.6
Sweden,Median,3.1,3,3,3,3,3
Sweden,Upper,3.2,3.1,3.2,3.2,3.3,3.4
Swaziland,Lower,74.6,64.9,57.3,51.4,45.9,42.8
Swaziland,Median,88.4,79.1,72.6,67.6,62.6,60.7
Swaziland,Upper,106.7,98.6,93.2,89.9,86,85.8
Seychelles,Lower,12.6,12.4,12.1,11.7,11.2,10.6
Seychelles,Median,14.2,14.2,14.2,14,13.8,13.6
Seychelles,Upper,16,16.3,16.5,16.8,17,17.2
Syria,Lower,13,12.5,12.9,11.9,10.8,9.3
Syria,Median,15.3,15,16,15.3,14.3,12.9
Syria,Upper,18.3,18.4,20.1,20,19.4,18
Chad,Lower,129.8,122,114.3,107.6,100.7,94
Chad,Median,160.1,156,151.6,147.1,142.9,138.7
Chad,Upper,196.7,198.2,199.9,201.3,202.3,202.8
Togo,Lower,81.4,78.3,75.2,71.8,68.6,65.1
Togo,Median,90.9,88.3,85.8,83.3,80.8,78.4
Togo,Upper,101.2,99.1,97.2,95.4,94.3,93.9
Thailand,Lower,10.6,9.9,9.3,8.7,8.2,7.7
Thailand,Median,14.5,14,13.5,13.1,12.6,12.3
Thailand,Upper,20.2,20,20,19.9,19.9,19.9
Tajikistan,Lower,42.2,39.4,36.5,33.6,31,28.7
Tajikistan,Median,52.6,50.9,49.3,47.8,46.3,44.8
Tajikistan,Upper,65.8,66.3,67.6,69.5,71,72.2
Turkmenistan,Lower,35.8,33.7,31.6,29.7,27.8,26
Turkmenistan,Median,60.1,58.2,56.5,54.7,53.1,51.4
Turkmenistan,Upper,94.3,94.9,95.2,95.1,94.9,94.5
Timor Leste,Lower,51.7,48.2,44.8,41.8,38.9,36
Timor Leste,Median,63.8,61.1,58.7,56.5,54.5,52.6
Timor Leste,Upper,77.6,76.4,75.9,76.1,76.5,76.4
Tonga,Lower,12.8,12.5,12.2,11.8,11.3,10.7
Tonga,Median,17.4,17.5,17.5,17.3,17.1,16.7
Tonga,Upper,23.2,24.1,24.8,25.3,25.8,26
Trinidad & Tobago,Lower,13.6,12.9,12.1,11.4,10.7,10.1
Trinidad & Tobago,Median,23.6,22.9,22.2,21.5,20.9,20.4
Trinidad & Tobago,Upper,45.2,45.1,44.7,44.4,43.8,43.5
Tunisia,Lower,15.8,14.5,13.3,12.3,11.3,10.5
Tunisia,Median,17.4,16.5,15.8,15.2,14.6,14
Tunisia,Upper,19.1,18.9,18.7,18.7,18.7,18.8
Turkey,Lower,18.1,16.9,15.8,14.7,13.7,12.6
Turkey,Median,19.1,17.8,16.5,15.4,14.3,13.5
Turkey,Upper,20.3,18.7,17.2,16,15,14.5
Tuvalu,Lower,22.7,21.3,20,18.6,17.4,16.3
Tuvalu,Median,31.7,30.7,29.8,28.9,28,27.1
Tuvalu,Upper,44.2,44.4,44.5,44.9,45.1,45
Tanzania,Lower,52.1,46.9,43.1,39.8,36.5,33.8
Tanzania,Median,63.4,58.9,55.7,53.3,50.5,48.7
Tanzania,Upper,76.8,73.7,72,71.2,70.2,70.3
Uganda,Lower,66.3,59.8,53.2,48.4,44.1,40.6
Uganda,Median,75.2,69.8,64.1,60.3,56.9,54.6
Uganda,Upper,85.1,81.3,77.3,75.8,74.3,74.2
Ukraine,Lower,11.4,10.8,10.2,9.5,8.7,8.1
Ukraine,Median,11.8,11.2,10.6,10,9.5,9
Ukraine,Upper,12.1,11.5,11,10.5,10.2,10
Uruguay,Lower,11.9,11.5,11,10.4,9.7,9.1
Uruguay,Median,12.3,12,11.6,11.1,10.6,10.1
Uruguay,Upper,12.8,12.5,12.1,11.8,11.5,11.3
United States of America,Lower,7.2,6.9,6.6,6.2,5.8,5.4
United States of America,Median,7.4,7.2,7.1,6.9,6.7,6.5
United States of America,Upper,7.6,7.5,7.5,7.6,7.7,7.8
Uzbekistan,Lower,26.2,24.6,23.1,21.7,20.5,19.2
Uzbekistan,Median,46.1,44.6,43.2,41.8,40.4,39.1
Uzbekistan,Upper,78.1,78.7,78.8,78.9,79.2,79.5
St Vincent & the Grenadines,Lower,18.8,18.2,17.4,16.5,15.6,14.7
St Vincent & the Grenadines,Median,20.8,20.3,19.8,19.3,18.8,18.3
St Vincent & the Grenadines,Upper,22.9,22.8,22.7,22.7,22.8,22.9
Venezuela,Lower,15.8,15.2,14.4,13.5,12.6,11.7
Venezuela,Median,16.6,16.4,16.1,15.7,15.3,14.9
Venezuela,Upper,17.5,17.7,18,18.4,18.8,19.1
Vietnam,Lower,24,23.5,23,22.4,21.7,20.8
Vietnam,Median,24.8,24.2,23.5,22.9,22.3,21.7
Vietnam,Upper,25.7,24.9,24.1,23.4,23,22.7
Vanuatu,Lower,22.4,21.8,21.2,20.4,19.5,18.6
Vanuatu,Median,28.5,28.6,28.6,28.4,28.1,27.5
Vanuatu,Upper,36.6,37.7,38.8,39.5,40,40.5
Samoa,Lower,14.8,14.4,13.9,13.4,12.9,12.2
Samoa,Median,18.7,18.6,18.5,18.2,17.9,17.5
Samoa,Upper,22.4,22.6,22.9,23.3,23.5,23.7
Yemen,Lower,47.2,43.7,40.5,37.5,34.9,32.3
Yemen,Median,54.2,51.1,48.4,46,43.8,41.9
Yemen,Upper,62.5,60.1,58,56.3,55.1,54.3
South Africa,Lower,45.1,41.3,38.9,34.5,32.1,30.5
South Africa,Median,53.8,49.8,47.7,43.4,41.4,40.5
South Africa,Upper,63.5,59.7,58.2,54.1,53.1,53.3
Zambia,Lower,74.6,70.6,65.4,59.4,54.1,49.4
Zambia,Median,82.1,78.6,74.4,70.2,66.6,64
Zambia,Upper,90.4,87.6,84.8,82.4,81.1,81.3
Zimbabwe,Lower,79,73.8,65.2,59.1,54.6,50.9
Zimbabwe,Median,89.5,85.6,78.5,74.5,72.3,70.7
Zimbabwe,Upper,102.2,100.7,96.2,95.1,96.3,97.6
