CountryName,Uncertainty bounds*,2010,2011,2012,2013,2014,2015
China,Upper,16.7,15.5,14.5,13.8,13.2,12.7
Cote d Ivoire,Lower,95.8,91.7,87,82,76.8,72.3
Cote d Ivoire,Median,109.1,105.9,102.5,99,95.5,92.6
Cote d Ivoire,Upper,124.1,122.6,120.9,119.5,119.2,118.8
Cameroon,Lower,72.1,66.6,61.9,57.3,53.5,50.3
Cameroon,Median,104.8,101,97.4,93.9,90.6,87.9
Cameroon,Upper,148.3,149.1,149.2,148.6,148.2,147.9
Congo DR,Lower,96.8,91.4,86.1,81,76.1,71.3
Congo DR,Median,116.1,112.2,108.5,104.8,101.7,98.3
Congo DR,Upper,137.6,135.4,133,131.3,130.3,129.8
Congo,Lower,49.5,44.2,39.4,35.6,32.3,29.6
Congo,Median,60.6,56.1,52.6,49.6,47.1,45
Congo,Upper,73.9,70.8,69,67.8,67,66.5
Cook Islands,Lower,7.6,7.1,6.6,6.2,5.8,5.4
Cook Islands,Median,9.9,9.4,9.1,8.7,8.4,8.1
Cook Islands,Upper,12.7,12.5,12.3,12.3,12.2,12.2
Colombia,Lower,15,14.1,13.2,12.4,11.6,10.9
Colombia,Median,18.5,18,17.4,16.9,16.4,15.9
Colombia,Upper,23.2,23.3,23.4,23.4,23.5,23.7
Comoros,Lower,52.8,50.2,47.3,44.5,42,39.4
Comoros,Median,86,83.3,80.9,78.3,75.9,73.5
Comoros,Upper,142.1,143.3,143.3,143.9,144.1,144.6
Cape Verde,Lower,26.8,26.1,25.3,24.2,23,21.7
Cape Verde,Median,27.8,27.3,26.6,25.9,25.2,24.5
Cape Verde,Upper,28.9,28.5,28,27.8,27.6,27.6
Costa Rica,Lower,9.8,9.8,9.6,9.1,8.5,7.7
Costa Rica,Median,10.2,10.1,10.1,10,9.9,9.7
Costa Rica,Upper,10.5,10.5,10.6,11,11.5,12.2
Cuba,Lower,5.9,5.8,5.6,5.5,5.3,4.9
Cuba,Median,6.1,6,5.8,5.7,5.6,5.5
Cuba,Upper,6.3,6.2,6,5.9,5.9,6.1
Cyprus,Lower,3.3,3.1,2.8,2.6,2.3,2.1
Cyprus,Median,3.6,3.4,3.2,3,2.9,2.7
Cyprus,Upper,4,3.8,3.6,3.6,3.5,3.5
Czech Republic,Lower,3.9,3.8,3.6,3.5,3.3,3.1
Czech Republic,Median,4.1,3.9,3.8,3.7,3.5,3.4
Czech Republic,Upper,4.3,4.1,3.9,3.8,3.8,3.8
Germany,Lower,4.1,4,3.9,3.8,3.7,3.5
Germany,Median,4.2,4.1,4,3.9,3.8,3.7
Germany,Upper,4.3,4.2,4.1,4,4,4
Djibouti,Lower,59.4,56.2,53,49.8,46.9,44.1
Djibouti,Median,76.1,73.9,71.7,69.5,67.4,65.3
Djibouti,Upper,97.5,96.7,95.8,95,94.9,95
Dominica,Lower,16.4,16.9,17.2,17.2,17,16.5
Dominica,Median,18.8,19.6,20.4,21,21.2,21.2
Dominica,Upper,21.4,22.8,24.2,25.6,26.6,27.5
Denmark,Lower,3.9,3.7,3.6,3.4,3.2,3
Denmark,Median,4,3.9,3.8,3.7,3.6,3.5
Denmark,Upper,4.2,4.1,4.1,4.2,4.2,4.3
Dominican Republic,Lower,29.1,28.1,27.2,26.1,25.2,24.1
Dominican Republic,Median,33.8,33.3,32.7,32.2,31.5,30.9
Dominican Republic,Upper,39.6,39.8,40,40.1,40.2,40.4
Algeria,Lower,26.8,26.1,25.6,25.2,24.8,24.2
Algeria,Median,27.3,26.6,26.1,25.8,25.6,25.5
Algeria,Upper,27.9,27.1,26.6,26.4,26.5,26.8
Ecuador,Lower,18.5,17.4,16.4,15.5,14.5,13.6
Ecuador,Median,25.2,24.5,23.7,23,22.3,21.6
Ecuador,Upper,34.8,34.7,34.7,34.7,34.6,34.7
Egypt,Lower,25.6,24.2,22.9,21.6,20.3,19.1
Egypt,Median,29,27.9,26.8,25.8,24.8,24
Egypt,Upper,32.8,32,31.4,30.9,30.5,30.3
Eritrea,Lower,43.1,40.4,37.7,35.3,32.9,30.8
Eritrea,Median,55.6,53.5,51.6,49.7,48.1,46.5
Eritrea,Upper,72.1,71.7,71.4,71.1,70.7,70.8
Spain,Lower,4.5,4.4,4.2,4,3.7,3.4
Spain,Median,4.6,4.5,4.4,4.3,4.2,4.1
Spain,Upper,4.7,4.6,4.5,4.6,4.7,4.9
Estonia,Lower,4.3,3.9,3.5,3.1,2.8,2.5
Estonia,Median,4.6,4.2,3.8,3.5,3.2,2.9
Estonia,Upper,5,4.6,4.2,3.9,3.7,3.5
Ethiopia,Lower,61.5,56.1,51.4,47.2,43.8,40.6
Ethiopia,Median,75.7,71.3,67.7,64.6,61.8,59.2
Ethiopia,Upper,90.8,87.9,85.9,84.5,83.3,83
Finland,Lower,2.9,2.7,2.6,2.4,2.2,2
Finland,Median,3,2.9,2.7,2.6,2.4,2.3
Finland,Upper,3.2,3,2.9,2.8,2.7,2.7
Fiji,Lower,23,22.7,22.2,21.5,20.5,19.4
Fiji,Median,23.9,23.7,23.5,23.2,22.9,22.4
Fiji,Upper,24.8,24.8,24.9,25.1,25.4,25.7
France,Lower,4.2,4.2,4.2,4.1,4,3.8
France,Median,4.3,4.3,4.3,4.4,4.4,4.3
France,Upper,4.4,4.4,4.5,4.6,4.8,5
Federated States of Micronesia,Lower,21.3,20,18.9,17.7,16.7,15.7
Federated States of Micronesia,Median,40.7,39.4,38.2,37,35.8,34.7
Federated States of Micronesia,Upper,78,77.6,77.6,77.4,77.8,78
Gabon,Lower,52.3,48.8,45.1,41.5,38.4,35.9
Gabon,Median,63.3,60.6,57.7,54.8,52.3,50.8
Gabon,Upper,76,74.2,72.3,70.6,69.5,70.1
United Kingdom,Lower,5.1,4.8,4.5,4.2,3.9,3.6
United Kingdom,Median,5.2,5,4.8,4.6,4.4,4.2
United Kingdom,Upper,5.3,5.1,5,5,5,5
Georgia,Lower,15.1,14.1,13,12,11,10
Georgia,Median,16.6,15.5,14.4,13.4,12.6,11.9
Georgia,Upper,18.1,17,16.2,15.6,15.2,14.9
Ghana,Lower,66,62.3,58.5,54.8,51.3,48.1
Ghana,Median,74.7,71.9,69.2,66.5,64,61.6
Ghana,Upper,84.1,82.5,81.1,80,78.9,78.2
Guinea,Lower,96.6,91.6,86.9,81.8,76.7,71.8
Guinea,Median,111.9,107.7,104,100.4,97,93.7
Guinea,Upper,129.8,126.8,124.7,123.4,122.6,122
Gambia The,Lower,62,58.2,54.6,51,47.9,44.7
Gambia The,Median,81.4,78.6,76.1,73.6,71.1,68.9
Gambia The,Upper,105.6,104.8,104.3,103.9,104.2,104.1
Guinea-Bissau,Lower,97.7,91.1,84.9,79.1,73.9,68.9
Guinea-Bissau,Median,115.9,110.4,105.2,100.5,96.2,92.5
Guinea-Bissau,Upper,137.6,133.3,129.5,125.8,122.8,120.8
Equatorial Guinea,Lower,89.4,84.4,79.2,74.5,69.6,65.3
Equatorial Guinea,Median,110.9,107.3,103.7,100.3,97.4,94.1
Equatorial Guinea,Upper,136.1,134.6,133.7,133,132.8,133
Greece,Lower,4.5,4.5,4.5,4.4,4.3,4.1
Greece,Median,4.7,4.7,4.7,4.7,4.6,4.6
Greece,Upper,4.9,4.9,4.9,4.9,5.1,5.2
Grenada,Lower,11.6,11.2,10.7,10.1,9.5,9
Grenada,Median,13.2,13,12.7,12.5,12.2,11.8
Grenada,Upper,14.9,15,15.1,15.3,15.4,15.6
Guatemala,Lower,26.7,25.1,23.4,21.9,20.6,19.3
Guatemala,Median,34.5,33.3,32.1,31.1,30.1,29.1
Guatemala,Upper,45,44.7,44.5,44.4,44.5,44.4
Guyana,Lower,34.4,33.5,32.6,31.4,30.1,28.7
Guyana,Median,41.5,41.4,41.2,40.8,40.2,39.4
Guyana,Upper,49.9,51,52,53,53.6,54.2
Honduras,Lower,21.1,20,18.8,17.7,16.6,15.5
Honduras,Median,24.4,23.5,22.6,21.8,21.1,20.4
Honduras,Upper,28.4,27.8,27.3,27.1,27,27
Croatia,Lower,5.1,4.9,4.6,4.4,4.1,3.8
Croatia,Median,5.4,5.1,4.9,4.7,4.5,4.3
Croatia,Upper,5.6,5.4,5.2,5,4.9,4.9
Haiti,Lower,184.5,67.6,65,62.1,58.9,55.5
Haiti,Median,208.8,77.2,75.2,73.1,71,69
Haiti,Upper,238.1,89.6,88.6,87.9,87.6,87.5
Hungary,Lower,6.3,6.2,6.1,5.9,5.7,5.3
Hungary,Median,6.6,6.4,6.3,6.2,6.1,5.9
Hungary,Upper,6.8,6.6,6.5,6.4,6.4,6.5
Indonesia,Lower,30.1,28.5,27.1,25.5,24,22.5
Indonesia,Median,33.1,31.7,30.4,29.3,28.2,27.2
Indonesia,Upper,36.5,35.3,34.3,33.6,33.1,32.9
India,Lower,56.6,53.6,50.6,47.7,44.9,42.4
India,Median,59.9,57.2,54.5,52.1,49.8,47.7
India,Upper,63.4,60.9,58.6,56.5,54.7,53.3
Ireland,Lower,4,3.9,3.8,3.6,3.3,3.1
Ireland,Median,4.2,4.1,4,3.8,3.7,3.6
Ireland,Upper,4.4,4.3,4.2,4.1,4.2,4.2
Iran,Lower,17.6,16.1,14.8,13.5,12.5,11.6
Iran,Median,19.2,18.3,17.5,16.8,16.1,15.5
Iran,Upper,21,20.8,20.7,20.8,20.9,21
Iraq,Lower,31.2,30.1,28.8,27.4,26,24.5
Iraq,Median,36.6,35.7,34.8,33.9,32.9,32
Iraq,Upper,43,42.5,42.1,41.8,41.8,41.8
Iceland,Lower,2,1.8,1.7,1.6,1.5,1.4
Iceland,Median,2.4,2.3,2.2,2.1,2.1,2
Iceland,Upper,2.9,2.9,2.9,2.9,2.9,2.9
Israel,Lower,4.4,4.3,4.1,3.9,3.7,3.5
Israel,Median,4.6,4.4,4.3,4.2,4.1,4
Israel,Upper,4.7,4.6,4.5,4.6,4.6,4.6
Italy,Lower,3.9,3.8,3.7,3.5,3.3,3.1
Italy,Median,4,3.9,3.8,3.7,3.6,3.5
Italy,Upper,4.1,4,3.9,3.9,3.9,4
Jamaica,Lower,14,13.3,12.5,11.8,11.1,10.3
Jamaica,Median,18.1,17.6,17.2,16.7,16.2,15.7
Jamaica,Upper,24,24,24,24.3,24.3,24.4
Jordan,Lower,17.5,16.7,15.9,15,14.2,13.3
Jordan,Median,20.8,20.2,19.6,19,18.5,17.9
Jordan,Upper,24.8,24.5,24.4,24.3,24.2,24.1
Japan,Lower,3.1,3.3,2.9,2.8,2.7,2.6
Japan,Median,3.2,3.4,3,2.9,2.8,2.7
Japan,Upper,3.3,3.5,3.1,3,2.9,2.9
Kazakhstan,Lower,20.9,18.9,17,15.1,13.5,12.2
Kazakhstan,Median,21.6,19.6,17.9,16.4,15.1,14.1
Kazakhstan,Upper,22.3,20.4,18.7,17.5,16.7,16.3
Kenya,Lower,52.9,49.2,45.8,43.1,40.3,38
Kenya,Median,62.1,58.5,55.6,53.4,51.3,49.4
Kenya,Upper,72.3,69.4,67.2,65.9,64.6,64
Kyrgyzstan,Lower,29.2,26.9,24.8,22.9,20.9,19
Kyrgyzstan,Median,30,27.8,25.7,24,22.6,21.3
Kyrgyzstan,Upper,30.8,28.5,26.6,25.2,24.5,24.2
Cambodia,Lower,36.9,33.1,29.3,25.6,22.4,19.6
Cambodia,Median,43.1,39.3,35.8,32.9,30.6,28.7
Cambodia,Upper,50.8,46.7,43.7,42.2,41.5,41.4
Kiribati,Lower,49,46.7,44.4,41.9,39.4,37.2
Kiribati,Median,62.9,61.7,60.4,58.9,57.4,55.9
Kiribati,Upper,80.3,81.1,82,82.5,83.4,84.2
Saint Kitts & Nevis,Lower,10.4,9.8,9.2,8.6,8,7.5
Saint Kitts & Nevis,Median,12.5,12.1,11.7,11.3,10.9,10.5
Saint Kitts & Nevis,Upper,15.1,14.9,14.8,14.8,14.8,14.8
Korea Rep,Lower,4,3.9,3.7,3.6,3.4,3.2
Korea Rep,Median,4.1,4,3.8,3.7,3.6,3.4
Korea Rep,Upper,4.2,4,3.9,3.8,3.8,3.7
Kuwait,Lower,10.5,10.1,9.6,9,8.4,7.8
Kuwait,Median,10.8,10.3,9.9,9.4,9,8.6
Kuwait,Upper,11.1,10.6,10.2,9.9,9.6,9.4
Lao PDR,Lower,66.1,62.5,59,55.6,52.3,48.8
Lao PDR,Median,79.7,76.7,74,71.3,69.1,66.7
Lao PDR,Upper,95.4,93.3,91.9,91.1,90,89.7
Lebanon,Lower,6.6,6.1,5.7,5.3,5,4.7
Lebanon,Median,10.1,9.7,9.3,8.9,8.6,8.3
Lebanon,Upper,15.1,14.7,14.5,14.2,14.1,14
Liberia,Lower,78.9,73.3,67.9,62.9,58.2,53.9
